,tree_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,init_time,init_snap,inf_time,inf_snap,rs,rhos
177,569,-353.9005,-46.625977,-213.50146,120.32624,147.24689,104.724266,0.04970023954622085,1.533588501394217,21,2.8282978179355154,30,1.5509830964563647,15852682.664171923
178,572,27.302002,-1026.5693,-65.5625,-127.9345,311.4269,109.04793,0.12309290743662539,3.8888798948366885,37,7.114347722585295,58,2.09664336464642,11114549.006852612
179,575,-2.0419922,-20.642578,-205.95898,-130.00293,414.88074,84.384834,0.0478156133144346,4.965495393526235,44,4.965495393526235,44,0.9415372728978749,33875877.43266841
180,582,-97.04248,288.0664,-355.31152,51.45727,231.48518,155.8864,0.050561780295331184,2.9697302481753507,31,6.056697650557152,51,1.2754036269513371,19616651.707292765
181,601,-159.08032,-1149.7803,-123.27051,-51.636116,362.19507,126.3296,0.055354112742184394,4.192701039587177,39,7.623867997384209,61,0.7214185246154923,60987146.09937537
182,610,-129.75757,216.50293,-162.56445,92.904526,189.74242,288.4248,0.08125424028709993,3.8888798948366885,37,4.487690799315245,41,1.1863667396407211,25816619.163512226
183,613,322.4143,-51.121094,-79.58984,-95.543564,187.39854,77.38624,0.05120793723201273,2.2289543449187157,26,4.487690799315245,41,1.9317973300702094,7638445.478831525
184,614,-148.58887,-178.30322,123.884766,192.70538,43.68243,-285.66547,0.1167390272263267,1.9361870776816503,24,2.9697302481753507,31,0.5744163316180064,234292525.15288317
185,616,64.480225,-333.53223,161.875,-67.610825,231.57861,-361.1188,0.06978495466100244,3.8888798948366885,37,5.100321072369769,45,0.6736244636428371,83099850.58425531
186,617,29.101074,0.32421875,131.61719,25.714281,-220.80771,-408.53766,0.17193159523494553,5.273362816372702,46,4.965495393526235,44,2.485771366082649,8884388.145244414
187,620,-275.21313,130.43457,-15.947266,253.1129,-50.428352,-178.02592,0.15179304104130073,3.731898415274796,36,4.192701039587177,39,0.8123089324454521,100142438.02603805
188,622,-418.2876,79.904785,285.76953,119.77381,98.18476,-258.66864,0.07446959245194366,2.9697302481753507,31,4.642161998661766,42,1.8343261329356062,12631927.201904688
